@relation reviews

@attribute 'of' real
@attribute 'to' real
@attribute 'is' real
@attribute 'in' real
@attribute 'with' real
@attribute 'was' real
@attribute 'film' real
@attribute 'movie' real
@attribute 'on' real
@attribute 'are' real
@attribute 'not' real
@attribute 'one' real
@attribute 'be' real
@attribute 'have' real
@attribute 'by' real
@attribute 'at' real
@attribute 'all' real
@attribute 'who' real
@attribute 'from' real
@attribute 'has' real
@attribute '' real
@attribute 'like' real
@attribute 'about' real
@attribute 'very' real
@attribute 'out' real
@attribute 'more' real
@attribute 'what' real
@attribute 'some' real
@attribute 'good' real
@attribute 'just' real
@attribute 'there' real
@attribute 'great' real
@attribute 'see' real
@attribute 'story' real
@attribute 'time' real
@attribute 'which' real
@attribute 'up' real
@attribute 'well' real
@attribute 'can' real
@attribute 'really' real
@attribute 'also' real
@attribute 'would' real
@attribute 'will' real
@attribute 'had' real
@attribute 'were' real
@attribute 'only' real
@attribute 'most' real
@attribute 'other' real
@attribute 'even' real
@attribute 'no' real
@attribute 'much' real
@attribute 'than' real
@attribute 'first' real
@attribute 'love' real
@attribute 'into' real
@attribute 'films' real
@attribute 'best' real
@attribute 'people' real
@attribute 'how' real
@attribute 'been' real
@attribute 'get' real
@attribute 'many' real
@attribute 'do' real
@attribute 'way' real
@attribute 'characters' real
@attribute 'life' real
@attribute 'think' real
@attribute 'movies' real
@attribute 'made' real
@attribute 'dont' real
@attribute 'too' real
@attribute 'two' real
@attribute 'then' real
@attribute 'seen' real
@attribute 'watch' real
@attribute 'being' real
@attribute 'character' real
@attribute 'show' real
@attribute 'make' real
@attribute 'never' real
@attribute 'little' real
@attribute 'still' real
@attribute 'could' real
@attribute 'any' real
@attribute 'man' real
@attribute 'know' real
@attribute 'does' real
@attribute 'did' real
@attribute 'ever' real
@attribute 'years' real
@attribute 'end' real
@attribute 'scene' real
@attribute 'over' real
@attribute 'real' real
@attribute 'say' real
@attribute 'such' real
@attribute 'scenes' real
@attribute 'back' real
@attribute 'makes' real
@attribute 'here' real
@attribute opinion {pos, neg}

@data
1,0,7,2,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,pos
2,1,2,3,1,3,0,0,0,0,0,0,0,3,0,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0,0,3,0,0,0,0,0,0,1,0,0,pos
9,2,7,6,2,0,2,0,2,0,3,2,0,3,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,2,1,1,2,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
12,12,13,11,4,2,4,0,3,4,2,1,3,2,0,3,3,0,3,1,0,4,2,1,0,2,0,0,0,1,2,1,1,0,0,4,2,0,0,1,0,0,0,1,0,0,0,0,0,2,5,1,0,0,2,2,0,1,1,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,1,0,0,1,2,1,0,0,0,0,pos
12,23,3,6,2,7,2,3,6,2,4,0,3,6,0,4,3,5,1,1,2,4,3,1,0,0,5,0,2,3,0,2,0,0,1,0,0,0,1,3,1,2,1,5,0,1,1,0,0,1,2,1,0,0,2,0,0,1,1,1,2,0,3,1,0,0,1,0,1,0,2,1,2,0,0,0,0,0,3,1,0,1,0,0,2,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,pos
6,8,3,5,2,0,0,0,1,4,1,1,1,1,0,1,1,1,1,1,1,1,0,2,0,1,0,1,2,1,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0,0,0,pos
3,4,5,3,0,0,2,1,0,0,1,0,2,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,pos
1,3,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,pos
3,4,4,2,0,2,0,0,3,0,2,2,0,1,2,1,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
1,1,1,3,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pos
1,1,2,2,0,0,0,0,1,1,0,2,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
4,3,5,1,0,2,0,3,0,0,2,0,0,0,1,1,2,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
2,1,6,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
5,8,1,1,0,1,4,0,1,0,0,1,0,1,3,0,1,2,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pos
4,5,1,2,0,3,1,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,pos
2,2,2,1,1,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,pos
4,2,1,1,0,2,1,4,4,0,1,0,0,3,0,1,0,0,1,1,0,2,1,0,0,1,1,0,0,2,0,0,2,0,0,0,0,0,0,0,1,2,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,pos
10,6,1,6,1,2,1,0,1,0,3,0,1,0,2,1,0,1,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,pos
5,6,2,2,2,1,1,1,0,2,0,1,0,0,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,pos
3,1,4,2,0,0,0,0,2,2,2,0,0,0,0,0,1,0,2,0,1,0,0,1,0,0,0,1,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,pos
5,6,3,8,0,3,0,3,2,0,0,0,0,0,3,0,0,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,0,1,2,3,0,1,1,1,0,1,1,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,pos
9,13,18,4,2,0,0,0,2,3,4,1,2,2,3,1,1,7,2,0,0,1,15,1,1,3,1,0,0,2,1,0,0,0,0,1,0,1,2,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,2,1,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,2,0,pos
2,7,4,3,1,2,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,1,1,1,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,pos
14,2,9,8,1,0,9,5,2,4,1,1,1,1,5,0,0,3,0,0,0,1,1,0,0,1,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,pos
3,1,3,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,pos
5,2,2,3,1,0,0,1,0,1,0,1,0,1,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
4,2,2,1,0,0,0,0,1,2,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,pos
2,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
3,3,6,1,0,1,5,0,0,0,0,0,2,0,1,1,1,1,2,0,0,0,0,1,0,1,0,0,2,0,1,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,pos
4,4,1,0,0,1,2,0,2,0,1,2,4,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,2,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,pos
6,6,1,7,0,4,5,0,1,0,2,1,0,0,3,0,0,1,1,3,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,3,0,2,0,0,1,0,1,0,0,0,1,1,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,pos
1,2,2,2,2,0,0,0,1,1,0,0,2,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,pos
4,2,4,1,0,0,0,0,3,2,0,1,4,0,0,0,1,1,0,0,0,0,0,0,1,1,0,2,0,1,2,0,0,0,0,0,0,1,1,1,1,0,2,1,1,1,2,0,0,0,1,1,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,pos
5,4,4,1,1,3,0,0,2,1,1,2,0,2,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,3,1,0,2,0,0,1,0,0,0,6,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,pos
4,3,0,1,2,8,0,1,2,1,1,0,1,0,1,2,1,1,0,0,0,1,0,0,1,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,pos
3,2,2,0,0,1,1,0,1,0,1,0,0,1,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,2,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,pos
2,3,1,4,0,2,0,3,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,pos
16,12,10,6,2,1,3,1,1,0,0,5,2,1,4,0,2,5,1,1,0,0,1,0,0,2,0,1,0,0,1,0,0,2,0,2,2,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,0,0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,pos
6,12,4,4,3,0,0,0,2,1,0,1,1,0,1,0,1,3,3,1,4,2,0,0,0,0,1,0,2,0,0,1,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,pos
16,5,7,14,4,7,10,0,3,2,5,0,0,1,3,2,5,2,2,1,1,0,1,0,0,2,0,2,0,1,0,0,0,0,4,2,0,1,1,0,2,0,0,0,2,2,0,1,3,0,2,1,2,1,0,1,0,1,0,0,0,5,0,1,0,0,3,0,1,0,1,0,0,0,1,0,2,0,0,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,2,0,1,0,0,pos
15,17,8,13,3,5,0,0,0,5,4,4,3,3,2,3,2,3,1,2,8,0,0,0,0,1,2,2,2,1,3,0,0,1,2,1,1,0,0,0,0,0,1,1,4,2,4,3,1,0,1,3,1,0,0,0,1,1,1,0,1,0,0,0,0,2,0,0,3,1,1,0,0,0,0,3,0,0,3,0,1,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,2,pos
1,6,0,1,0,6,0,2,1,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,pos
3,3,7,8,1,0,0,7,1,0,4,3,1,2,0,0,2,1,0,0,0,0,2,0,0,0,0,2,1,0,0,0,1,3,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,pos
1,2,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
5,10,15,4,0,1,5,0,1,2,1,1,0,0,0,2,3,1,1,0,0,2,2,6,2,0,1,0,0,3,1,0,2,0,2,0,1,0,1,2,3,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,pos
25,14,21,19,5,7,7,3,5,7,3,6,2,0,2,4,0,5,2,7,9,0,2,0,1,2,0,0,1,0,3,1,2,0,1,1,4,0,0,0,0,1,2,1,6,1,3,1,1,1,0,0,0,1,1,6,0,0,0,3,1,1,1,0,0,0,0,0,2,0,2,2,0,0,0,3,1,1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1,0,3,1,0,0,0,pos
2,3,3,5,1,5,2,1,0,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,2,1,1,1,0,0,1,0,0,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,pos
3,2,4,0,1,0,2,0,0,1,1,3,0,1,0,1,0,0,1,0,3,0,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,pos
3,4,5,1,1,0,1,2,2,2,4,1,2,3,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,3,0,1,2,0,0,0,1,1,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,pos
2,2,6,5,1,2,3,0,0,0,1,1,1,1,1,1,0,0,0,1,0,2,0,0,0,0,0,1,1,0,0,2,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pos
7,2,3,2,0,3,2,2,1,0,1,0,1,0,2,0,1,1,0,0,0,1,0,2,0,0,0,2,3,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,pos
2,0,3,5,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,pos
3,1,2,4,1,3,1,3,0,0,2,3,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,pos
1,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,pos
1,2,0,2,3,0,0,4,0,0,0,1,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,3,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,pos
0,3,8,1,0,0,0,8,2,1,0,0,0,4,1,1,1,1,0,0,0,1,1,0,0,1,1,0,3,0,0,1,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,0,0,0,1,0,1,0,0,pos
2,6,2,1,3,8,1,0,0,1,0,0,1,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,pos
2,2,6,1,1,1,0,3,0,1,0,0,0,1,1,0,1,0,0,2,0,0,0,9,0,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,pos
5,7,22,5,1,4,1,3,1,5,3,1,1,1,1,4,0,1,1,2,0,1,0,3,2,0,1,0,1,1,0,1,0,1,3,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,3,0,1,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,2,1,pos
6,6,15,11,2,5,1,6,1,7,1,1,1,1,4,3,2,5,0,2,0,0,2,6,1,0,2,1,1,1,2,1,2,0,1,0,1,0,0,2,1,2,0,2,1,4,1,2,2,1,0,0,1,2,0,0,0,1,0,1,1,1,0,2,0,0,2,0,1,2,0,1,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,1,2,3,2,1,0,0,0,0,0,1,0,2,pos
0,5,6,2,1,0,0,0,0,0,0,1,1,0,1,0,0,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,pos
2,6,13,0,0,0,0,3,1,3,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,pos
6,2,1,2,0,1,2,0,3,1,0,2,2,1,0,0,2,1,0,0,2,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,pos
